TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.commonjs.module.provider.ModuleSourceProviderBase,LINE,0.7272727272727273,33,27
org.mozilla.javascript.commonjs.module.provider.ModuleSource,LINE,1.0,12,12
org.mozilla.javascript.commonjs.module.provider.CachingModuleScriptProviderBase,LINE,0.5238095238095238,42,23
org.mozilla.javascript.commonjs.module.provider.SoftCachingModuleScriptProvider,LINE,0.5333333333333333,45,24
org.mozilla.javascript.commonjs.module.provider.StrongCachingModuleScriptProvider,LINE,1.0,7,7
org.mozilla.javascript.commonjs.module.provider.MultiModuleScriptProvider,LINE,0.9166666666666666,12,11
org.mozilla.javascript.commonjs.module.Require,LINE,0.49264705882352944,136,76
org.mozilla.javascript.ContinuationPending,LINE,1.0,10,10
org.mozilla.javascript.JavaAdapter,LINE,0.7781818181818182,550,418
org.mozilla.javascript.Kit,LINE,0.9119496855345912,159,144
org.mozilla.javascript.Decompiler,LINE,0.8051948051948052,385,315
org.mozilla.javascript.JavaMembers,LINE,0.671264367816092,435,338
org.mozilla.javascript.Icode,LINE,1.0,7,7
org.mozilla.javascript.FieldAndMethods,LINE,0.0,18,0
org.mozilla.javascript.UintMap,LINE,0.7892156862745098,204,163
org.mozilla.javascript.Undefined,LINE,0.7,10,7
org.mozilla.javascript.HashSlotMap,LINE,0.9166666666666666,48,44
org.mozilla.javascript.WrappedException,LINE,0.8461538461538461,13,11
org.mozilla.javascript.NativeJavaArray,LINE,0.09090909090909091,55,1
org.mozilla.javascript.VMBridge,LINE,0.1,10,1
org.mozilla.javascript.IdFunctionObject,LINE,1.0,64,64
org.mozilla.javascript.Token,LINE,1.0,204,204
org.mozilla.javascript.ObjArray,LINE,0.9152542372881356,177,163
org.mozilla.javascript.NativeMath,LINE,0.03501945525291829,257,9
org.mozilla.javascript.BeanProperty,LINE,1.0,5,5
org.mozilla.javascript.SecurityController,LINE,0.8695652173913043,23,19
org.mozilla.javascript.PolicySecurityController,LINE,0.6851851851851852,54,25
org.mozilla.javascript.NativeArrayIterator,LINE,1.0,15,15
org.mozilla.javascript.ContextFactory,LINE,0.9732142857142857,112,109
org.mozilla.javascript.WrapFactory,LINE,0.8787878787878788,33,24
org.mozilla.javascript.NativeNumber,LINE,0.6466666666666666,150,98
org.mozilla.javascript.UniqueTag,LINE,0.7058823529411765,17,8
org.mozilla.javascript.Context,LINE,0.22684310018903592,529,425
org.mozilla.javascript.StackStyle,LINE,1.0,0,0
org.mozilla.javascript.Ref,LINE,0.5,4,2
org.mozilla.javascript.CompilerEnvirons,LINE,1.0,97,97
org.mozilla.javascript.NodeTransformer,LINE,0.35785953177257523,299,111
org.mozilla.javascript.ImporterTopLevel,LINE,0.7567567567567568,112,86
org.mozilla.javascript.ThreadSafeSlotMapContainer,LINE,0.7592592592592593,54,44
org.mozilla.javascript.NativeError,LINE,0.5333333333333333,165,84
